"","Ctrl_sham_surgery_1","Ctrl_sham_surgery_2","Ctrl_sham_surgery_3","Ctrl_sham_surgery_4","Ctrl_sham_surgery_5","Sepsis_induced_surgery_1","Sepsis_induced_surgery_2","Sepsis_induced_surgery_3","Sepsis_induced_surgery_4","Sepsis_induced_surgery_5"
"3-AMINO-5-HYDROXYBENZOATE",-13.71984679,-13.33743845,-14.85003861,-14.35615523,-14.0769426,-14.44928625,-13.21405843,-12.04592099,-12.41098,-14.03479172
"3-HYDROXYBENZALDEHYDE",-9.915312308,-9.155732318,-8.277480547,-10.5876698,-8.706973589,-9.509567448,-9.523651711,-10.31647484,-10.882875,-10.56191708
"3-HYDROXYBENZYL ALCOHOL",-4.628278886,-4.772378496,-4.7055756,-4.750104498,-4.867342366,-4.557175851,-4.806373043,-4.673105205,-4.666511782,-4.533257839
"3-HYDROXYMETHYLGLUTARATE",-9.810530198,-9.995060253,-9.714425302,-9.868671277,-9.805138048,-9.353245595,-9.447342702,-9.006110677,-8.548155433,-8.827149128
"3-HYDROXYPHENYLACETATE",-7.622660499,-7.766700407,-7.651039383,-7.804941907,-7.729765989,-7.49613981,-7.430185331,-7.46667656,-7.402724211,-7.411335328
"3-METHOXY-4-HYDROXYMANDELATE",-6.75902254,-6.868946241,-6.902374419,-7.019158642,-7.036255763,-6.76901275,-6.701205323,-6.657794789,-6.683570732,-6.6238631
"3-METHOXYTYRAMINE",-11.74188912,-12.06362801,-12.5603191,-12.15640536,-11.9342224,-11.93273403,-11.82813711,-11.95102764,-12.24638056,-12.05955789
"3-METHOXYTYROSINE",-12.71101976,-12.92383747,-13.22301803,-12.59276715,-13.28770085,-13.59835838,-12.84635128,-13.61036117,-13.74706406,-13.392998
"3-METHYL-2-OXOVALERATE",-8.700517816,-8.894665407,-8.470988734,-8.512442061,-8.661819848,-8.624772929,-7.701331519,-7.66850421,-7.31676362,-8.284004877
"3-METHYLADENINE",-14.3022075,-13.88890781,-14.41407527,-13.78569997,-14.6100847,-14.24796553,-15.02239914,-15.47670241,-13.74840672,-14.60135531
"3-METHYLHISTAMINE",-14.83133651,-14.53139686,-15.30947023,-13.95141048,-14.84736811,-14.20883221,-13.77556196,-13.64523503,-13.62242815,-13.41064904
"3-SULFINOALANINE",-15.69199268,-14.38888522,-14.55204053,-14.18648349,-14.89377858,-14.11445339,-14.3224905,-14.59708474,-14.25303551,-14.74411456
"3,4 DIHYDROXYMANDELATE",-8.685950095,-8.931506029,-8.980326605,-9.087346482,-9.031380182,-8.372814221,-8.6342431,-8.741554244,-8.685940057,-8.305080457
"3,4-DIHYDROXYPHENYLACETATE",-6.874475008,-6.870936257,-6.836000915,-6.9757371,-6.961245959,-6.614712398,-6.691363782,-6.615156433,-6.671866296,-6.644044034
"3,4-DIHYDROXYPHENYLGLYCOL",-2.629374729,-2.729430908,-2.789454607,-2.786725474,-2.813076838,-2.523983378,-2.593533057,-2.534414572,-2.510839049,-2.441901352
"4-ACETAMIDOBUTANOATE",-15.6316415,-15.06220359,-14.13954523,-14.89072745,-15.29409457,-15.36042897,-14.24392896,-12.57143373,-13.88644766,-13.9997963
"4-COUMARATE",-9.671034732,-10.47055915,-9.031707483,-8.983497923,-7.53937508,-8.847446235,-10.58343424,-12.85253547,-13.00861133,-11.62188538
"4-GUANIDINOBUTANOATE",-10.21016467,-10.25159814,-10.09353283,-10.79088918,-10.4926365,-10.02106892,-11.40473396,-12.51156667,-12.01547664,-11.84214664
"4-HYDROXY-L-PHENYLGLYCINE (1)",-6.814954172,-7.018031264,-7.077555984,-7.167439241,-7.094384048,-6.806772684,-6.921592941,-6.703083694,-6.81976786,-6.585227337
"4-HYDROXYBENZALDEHYDE",-11.92867183,-11.51623269,-11.54945441,-11.90923702,-11.21573901,-11.74561236,-10.3543109,-9.540452861,-9.73560869,-10.21993417
"4-HYDROXYBENZOATE",-13.46461496,-13.0240163,-13.69362398,-13.93306256,-13.34375435,-12.76507411,-13.68748303,-13.0872643,-13.63439777,-14.2591285
"4-IMIDAZOLEACETATE",-13.47076843,-14.33056301,-13.64379593,-13.78263367,-13.30327789,-13.69182274,-14.21012202,-14.27647881,-14.66236689,-13.65851126
"4-METHOXYESTRADIOL",-14.95830036,-15.21420669,-14.55968059,-14.22967502,-15.73127105,-14.20680168,-14.49613859,-14.39976674,-14.38047346,-14.37454109
"4-METHYLCATECHOL",-4.628278886,-4.772378496,-4.7055756,-4.750104498,-4.867342366,-4.557175851,-4.806373043,-4.673105205,-4.666511782,-4.533257839
"4-PYRIDOXATE",-11.6727091,-11.36673718,-12.15200298,-11.29452916,-12.45876551,-11.96411664,-11.89252457,-11.87195138,-12.38987216,-12.42534912
"5-AMINOLEVULINATE",-10.78933146,-10.6401831,-11.02054924,-10.30274187,-10.45505069,-11.0722526,-10.77953046,-10.96020557,-11.72608024,-10.66659709
"5-AMINOPENTANOATE",-5.379823656,-4.898920582,-5.191047607,-4.982520737,-4.888833555,-5.175897899,-5.192284901,-5.310950981,-5.208135759,-5.496623891
